,model,dataset,shape,IO,OOD,DICE,mTRE,%fold,
1,lung,COPDGene,standard,0,0,,1.93,3.00E-04,
2,lung,OAI,standard,0,1,38,,7.90E-04,
3,lung,HCP,standard,0,1,73,,4.40E-05,
4,lung,COPDGene,standard,50,0,,1.31,2.00E-04,
5,lung,OAI,standard,50,1,70,,8.00E-03,
6,lung,HCP,standard,50,1,79.3,,1.90E-04,
7,knee,COPDGene,standard,0,1,,32.88,1.35,/playpen-raid2/lin.tian/projects/uniGradICON/evaluation_results/generalization_test/knee_model/eval_on_COPDGene_wo_IO
8,knee,OAI,standard,0,0,70.1,,2.61E-02,
9,knee,HCP,standard,0,1,34.8,,1.7934,/playpen-raid2/lin.tian/projects/uniGradICON/evaluation_results/generalization_test/knee_model/eval_on_HCP_wo_IO
10,knee,COPDGene,standard,50,1,,13.86,4.20E-03,/playpen-raid2/lin.tian/projects/uniGradICON/evaluation_results/generalization_test/knee_model/eval_on_COPDGene_w_IO
11,knee,OAI,standard,50,0,71.2,,4.20E-03,
12,knee,HCP,standard,50,1,76.2,,3.81E-03,/playpen-raid2/lin.tian/projects/uniGradICON/evaluation_results/generalization_test/knee_model/eval_on_HCP_w_IO
13,brain,COPDGene,standard,0,1,,19.35,2.75E-01,/playpen-raid2/lin.tian/projects/uniGradICON/evaluation_results/generalization_test/brain_model/eval_on_COPDGene_wo_IO/
14,brain,OAI,standard,0,1,13.8,,2.44,/playpen-raid2/lin.tian/projects/uniGradICON/evaluation_results/generalization_test/brain_model/eval_on_OAI_wo_IO
15,brain,HCP,standard,0,0,78.7,,1.20E-03,
16,brain,COPDGene,standard,50,1,,11.49,2.13E-02,/playpen-raid2/lin.tian/projects/uniGradICON/evaluation_results/generalization_test/brain_model/eval_on_COPDGene_w_IO/
17,brain,OAI,standard,50,1,27.17,,1.29E-01,
18,brain,HCP,standard,50,0,80.5,,4.00E-04,
19,lung,l2r_abdomenCTCT,standard,0,1,18.1,,3.40E-02,
20,lung,l2r_abdomenCTCT,standard,50,1,36.9,,6.60E-01,
21,knee,l2r_abdomenCTCT,standard,0,1,19.4,,2.05E+00,23.33
22,knee,l2r_abdomenCTCT,standard,50,1,44.3,,0.23,16.15
23,brain,l2r_abdomenCTCT,standard,0,1,28.6,,1.90E+00,19.63
24,brain,l2r_abdomenCTCT,standard,50,1,43.5,,0.22,16.22
25,unigradicon,COPDGene,standard,0,0,,2.26,9.30E-05,
26,unigradicon,COPDGene,standard,50,0,,1.4,9.00E-05,
27,unigradicon,HCP,standard,0,0,76.2,,6.40E-05,
28,unigradicon,HCP,standard,50,0,78.9,,2.20E-04,
29,unigradicon,OAI,standard,0,0,68.9,,3.90E-02,
30,unigradicon,OAI,standard,50,0,70.3,,2.20E-02,
31,unigradicon,l2r_abdomenCTCT,standard,0,0,48.3,,3.10E-01,
32,unigradicon,l2r_abdomenCTCT,standard,50,0,52.2,,9.60E-01,
33,unigradicon(w/o_abdomen),l2r_abdomenCTCT,standard,0,1,34.1,,1.90E-02,
34,unigradicon(w/o_abdomen),l2r_abdomenCTCT,standard,50,1,45.3,,7.90E-01,
35,lung,COPDGene,as_model,0,0,,1.93,3.00E-04,
36,lung,OAI,as_model,0,1,38,,7.90E-04,
37,lung,HCP,as_model,0,1,72.96,,4.42E-05,
38,brain,COPDGene,as_model,0,1,,18.33,6.90E-02,
39,brain,OAI,as_model,0,1,15.35,,1.03,
40,brain,HCP,as_model,0,0,78.67,,1.20E-03,
41,knee,COPDGene,as_model,0,1,,20.04,2.01E-02,
42,knee,OAI,as_model,0,0,70.1,,2.62E-02,
43,knee,HCP,as_model,0,1,56.47,,2.76E-03,
44,lung,l2r_abdomenCTCT,as_model,0,1,18.1,,3.40E-02,
45,knee,l2r_abdomenCTCT,as_model,0,1,29.5,,2.96E-02,
46,brain,l2r_abdomenCTCT,as_model,0,1,28.5,,7.84E-01,
